y,Re=100,Re=400,Re=1000 ,Re=3200,Re=5000,Re=7500,Re=10000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.97660,0.84123,0.75837,0.65928,0.53236,0.48223,0.47244,0.47221
0.96880,0.78871,0.68439,0.57492,0.48296,0.46120,0.47048,0.47783
0.96090,0.73722,0.61756,0.51117,0.46547,0.45992,0.47323,0.48070
0.95310,0.68717,0.55892,0.46604,0.46101,0.46036,0.47167,0.47804
0.85160,0.23151,0.29093,0.33304,0.34682,0.33556,0.34228,0.34635
0.73440,0.00332,0.16256,0.18719,0.19791,0.20087,0.20591,0.20673
0.61920,-0.13641,0.02135,0.05702,0.07156,0.08183,0.08342,0.08344
0.50000,-0.20581,-0.11477,-0.06080,-0.04272,-0.03039,-0.03800,0.03111
0.45310,-0.21090,-0.17119,-0.10648,-0.08664,-0.07404,-0.07503,-0.07540
0.28130,-0.15662,-0.32726,-0.27805,-0.24427,-0.22855,-0.23173,-0.23186
0.17190,-0.10150,-0.24299,-0.38289,-0.34323,-0.33050,-0.32393,-0.32709
0.10160,-0.06434,-0.14612,-0.29730,-0.41933,-0.40435,-0.38324,-0.38000
0.07030,-0.04775,-0.10338,-0.22220,-0.37827,-0.43643,-0.43025,-0.41657
0.06250,-0.04192,-0.09266,-0.20196,-0.35344,-0.42901,-0.43590,-0.42537
0.05470,-0.03717,-0.08186,-0.18109,-0.32407,-0.41165,-0.43154,-0.42735
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000